,lon,lat
0,6.732116666666666,49.048183333333334
1,7.203733333333333,48.521816666666666
2,7.203733333333333,48.521816666666666
3,9.331883333333334,47.2434
4,10.30455,46.80526666666667
5,12.662066666666666,46.5098
6,13.882216666666666,46.1654
7,13.882216666666666,46.1654
10,16.167666666666666,44.743916666666664
11,17.147833333333335,43.91416666666667
12,19.1961,42.241816666666665
13,20.188616666666668,41.465466666666664
14,20.188616666666668,41.465466666666664
15,21.929633333333335,40.17783333333333
16,21.929633333333335,40.17783333333333
18,25.651216666666667,37.65426166666666
19,26.879266666666666,35.92283333333334
20,26.879266666666666,35.92283333333334
21,27.624666666666666,35.09133333333333
22,27.624666666666666,35.09133333333333
24,29.334833333333332,33.1785
25,29.334833333333332,33.1785
26,30.023766666666667,32.40193333333333
27,30.023766666666667,32.40193333333333
28,30.023766666666667,32.40193333333333
30,31.860666666666667,30.267666666666667
31,31.860666666666667,30.267666666666667
32,31.860666666666667,30.267666666666667
33,33.0296,28.761033333333334
34,33.0296,28.761033333333334
35,33.68468333333333,27.954216666666667
36,33.68468333333333,27.954216666666667
37,33.68468333333333,27.954216666666667
38,35.194833333333335,26.14
39,35.194833333333335,26.14
40,35.194833333333335,26.14
41,35.90436666666667,25.30065
42,35.90436666666667,25.30065
43,35.90436666666667,25.30065
44,37.53158333333333,23.419133333333335
45,37.53158333333333,23.419133333333335
46,37.69936666666667,22.58765
47,37.69936666666667,22.58765
48,37.69936666666667,22.58765
51,34.7776,19.798666666666666
52,34.7776,19.798666666666666
53,34.7776,19.798666666666666
54,32.97323333333333,18.056866666666668
55,32.97323333333333,18.056866666666668
56,32.151183333333336,17.278933333333335
57,32.151183333333336,17.278933333333335
58,32.151183333333336,17.278933333333335
59,32.151183333333336,17.278933333333335
60,30.426333333333332,15.590916666666667
61,30.426333333333332,15.590916666666667
62,29.684366666666666,14.738316666666666
63,29.684366666666666,14.738316666666666
64,29.684366666666666,14.738316666666666
65,28.5015,12.743666666666666
66,28.5015,12.743666666666666
67,27.960816666666666,11.844883333333334
68,27.960816666666666,11.844883333333334
69,27.960816666666666,11.844883333333334
70,26.793666666666667,9.883633333333334
71,26.793666666666667,9.883633333333334
72,26.1995,8.891666666666667
73,26.1995,8.891666666666667
74,26.1995,8.891666666666667
75,24.999483333333334,6.7495
76,24.999483333333334,6.7495
77,25.0018,5.5217
78,25.0018,5.5217
79,25.0018,5.5217
80,24.994616666666666,2.8791166666666665
82,24.994616666666666,2.8791166666666665
83,25.0088,1.6767333333333334
84,25.0088,1.6767333333333334
85,25.0088,1.6767333333333334
86,24.998633333333334,-0.5801666666666667
87,24.998633333333334,-0.5801666666666667
88,25.0,-1.7010833333333333
89,24.998833333333334,-4.300416666666667
90,24.998833333333334,-4.300416666666667
91,25.0015,-5.043616666666667
92,25.0015,-5.043616666666667
93,25.0015,-5.043616666666667
94,25.001716666666667,-5.997416666666666
95,25.008183333333335,-7.3945
97,24.983333333333334,-8.405666666666667
98,24.983333333333334,-8.405666666666667
99,24.983333333333334,-8.405666666666667
100,24.99955,-9.364683333333334
101,25.007833333333334,-10.668133333333333
102,25.007833333333334,-10.668133333333333
103,25.007666666666665,-11.882
104,25.007666666666665,-11.882
105,25.007666666666665,-11.882
106,24.994183333333332,-14.271466666666667
107,24.994183333333332,-14.271466666666667
108,24.994183333333332,-14.271466666666667
109,25.003333333333334,-15.442533333333333
110,25.003333333333334,-15.442533333333333
111,25.003333333333334,-15.442533333333333
112,25.06345,-18.543066666666668
113,24.995666666666665,-20.246333333333332
114,24.995666666666665,-20.246333333333332
115,24.995666666666665,-20.246333333333332
116,24.83745,-21.437433333333335
117,24.83745,-21.437433333333335
118,24.83745,-21.437433333333335
119,24.925916666666666,-21.726233333333333
120,24.920833333333334,-23.725783333333332
121,24.920833333333334,-23.725783333333332
122,24.920833333333334,-23.725783333333332
123,25.20468333333333,-24.735033333333334
124,25.20468333333333,-24.735033333333334
125,25.20468333333333,-24.735033333333334
126,25.806766666666668,-26.762183333333333
127,25.806766666666668,-26.762183333333333
128,26.085083333333333,-27.7088
129,26.085083333333333,-27.7088
130,26.085083333333333,-27.7088
131,26.785466666666668,-30.026966666666667
132,26.785466666666668,-30.026966666666667
133,27.15018,-31.211766666666666
134,27.15018,-31.211766666666666
135,27.15018,-31.211766666666666
136,27.890666666666668,-33.598866666666666
137,27.890666666666668,-33.598866666666666
138,28.252066666666668,-34.77706666666667
139,28.252066666666668,-34.77706666666667
140,28.252066666666668,-34.77706666666667
141,29.016983333333332,-37.08161666666667
143,29.016983333333332,-37.08161666666667
144,29.016983333333332,-37.08161666666667
146,31.039283333333334,-40.35556666666667
147,31.039283333333334,-40.35556666666667
149,35.43096666666667,-41.90145
150,35.43096666666667,-41.90145
151,35.43096666666667,-41.90145
152,35.43096666666667,-41.90145
153,36.84665,-41.975766666666665
156,52.39066666666667,-41.046495
